Unnamed: 0,item_number,description,category,item_link,minifigs_link,color_link,Name,Hair Type,Is_Fantasy_Color,Is_Natural_Color
192,48212,"Minifigure, Hair Female Long Top Braided, Elaborate","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=48212,https://www.bricklink.com/catalogItemIn.asp?P=48212&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=48212#T=C,Light Aqua,Black-coded,False,False
440,4926,"Minifigure, Hair Female Short, Braided on Sides, Pulled Back in Bun","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=4926,https://www.bricklink.com/catalogItemIn.asp?P=4926&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=4926#T=C,Dark Tan,Black-coded,False,True
118,5108,"Minifigure, Hair Curly, Bushy, Hole on Top","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=5108,https://www.bricklink.com/catalogItemIn.asp?P=5108&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=5108#T=C,Black,Black-coded,False,True
250,5266pb01,"Minifigure, Hair Female Mid-Length Swept Back with Top Knot Bun with Gold Dragon and Monkie Kid Color Stone in Circle Pattern","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=5266pb01,https://www.bricklink.com/catalogItemIn.asp?P=5266pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=5266pb01#T=C,Black,Black-coded,False,True
146,53126,"Minifigure, Hair Female Coiled with Large High Bun","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=53126,https://www.bricklink.com/catalogItemIn.asp?P=53126&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=53126#T=C,Black,Black-coded,False,True
147,53126,"Minifigure, Hair Female Coiled with Large High Bun","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=53126,https://www.bricklink.com/catalogItemIn.asp?P=53126&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=53126#T=C,Dark Brown,Black-coded,False,True
120,5726,"Minifigure, Hair Dreadlocks Tousled and Spiked in Front, Short Back and Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=5726,https://www.bricklink.com/catalogItemIn.asp?P=5726&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=5726#T=C,Black,Black-coded,False,True
827,59362,"Minifigure, Hair Short with Curled Ends","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=59362,https://www.bricklink.com/catalogItemIn.asp?P=59362&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=59362#T=C,Reddish Brown,Black-coded,True,True
274,59363,"Minifigure, Hair Female Mid-Length with Braid Around Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=59363,https://www.bricklink.com/catalogItemIn.asp?P=59363&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=59363#T=C,Black,Black-coded,False,True
277,59363,"Minifigure, Hair Female Mid-Length with Braid Around Sides","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=59363,https://www.bricklink.com/catalogItemIn.asp?P=59363&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=59363#T=C,Medium Nougat,Black-coded,False,False
